time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.04,-3.12823480784695e-08,9.611602795377576e-11,0.0027609088495564415,6.28317999521186,0.00012073068978946111,0.0,-3.1282348078469505e-06,9.611602795377575e-09,0.13804197714268307,-0.0005384711269804655,0.00971425869137333,0.0,468.2390090021383,469.3709701730001,470.5006003018017,470.4380771784279
0.08,-2.0286337482216096e-06,-5.347067136051717e-08,0.011358009014638903,9.671395869403909e-05,0.0006080013716145416,0.0,-0.000124409069702772,-2.4841932158366656e-06,0.2917984754675969,0.009365956298623374,0.017906457464614913,0.0,476.35651585755096,477.29497643667605,475.75310061211997,476.8890289673099
0.12000000000000001,-1.3202261673771674e-05,1.1275073906333436e-06,0.024060495948001907,0.00043052800718612616,0.0012890565635208517,0.0,-0.00047422215752724174,8.261562759527498e-05,0.3433177735801762,0.00475106663943748,0.014005908964322487,0.0,429.27598499752554,428.77923300192947,430.71574616429695,430.12989190404716
0.16,-4.6628407524982084e-05,9.457132876924075e-06,0.04058117989937681,0.0005248184983974724,0.0018764042725347707,0.0,-0.0012343943445830444,0.0003561498252682913,0.48268944067555325,-0.019366998466826733,0.016554604029241853,0.0,470.09891167512535,470.39488828671114,471.869685689451,469.0690970894993
0.19999999999999998,-0.0001153512280568422,2.7968176477081064e-05,0.061901333848838745,6.2828512421094365,0.002465510116717695,0.0,-0.0022439278213710365,0.0005238906589546731,0.5832924039006856,-0.03141646473700501,0.006932129797376272,0.0,452.8836614999692,451.7212959632331,454.4319143068886,452.98099007353534
0.23999999999999996,-0.00022807494597077912,4.451204007260126e-05,0.08656990726534404,6.281495060141253,0.0027139111567420215,0.0,-0.0034082651843773057,0.00023613893608068749,0.6501160641512834,-0.05000502360030314,0.0037981045869032257,0.0,438.04363090554165,437.6524852281232,437.9630228655334,435.6374572079544
0.27999999999999997,-0.00038984069980401695,3.594681131439369e-05,0.11401430527475342,6.279445429794347,0.003045527322433017,0.0,-0.004691399250747583,-0.0007799661104167311,0.7220794823458833,-0.05578093156891447,0.017246204294455666,0.0,438.7020533769231,440.37348555575795,440.50927663937955,439.79062876035636
0.32,-0.0006100948032285686,-3.6985462686325206e-05,0.14543448110362647,6.277231532422851,0.0036412248460901964,0.0,-0.0063696536021267056,-0.003011204377355704,0.8488807433002586,-0.054116529880976,0.0020840626403603076,0.0,465.8307164282324,464.0489893756141,465.27308063364103,465.4665583048133
0.36000000000000004,-0.0009036098366578309,-0.0002233901257513895,0.18214077367788095,6.2751478960441105,0.003827261609068877,0.0,-0.008312587643473595,-0.006451224345593572,0.9863723876945638,-0.04720839061127223,0.010556980100261931,0.0,470.92901844103494,471.9108696553996,468.3736059076869,469.1770750529671
0.4000000000000001,-0.0012735276741338618,-0.0005608695260504859,0.22335867578301888,6.2735021947795495,0.004551786843006056,0.0,-0.010214568953815804,-0.010531437767889965,1.0744774905073715,-0.030188955238373727,0.030668894235667602,0.0,447.62371933648916,450.0716558127808,445.9999785802713,448.078926246377
0.4400000000000001,-0.0017295655908551645,-0.0010809754538861538,0.268548952396192,6.272199403225699,0.00567854279282809,0.0,-0.012670294113534857,-0.015545323361415073,1.1849747079632635,-0.04581492963379358,0.010901466410989798,0.0,459.39736332958915,457.0406106416317,459.51805645618794,457.6560032313008
0.48000000000000015,-0.0022961224932482142,-0.001819637740209139,0.3185195845907413,6.270432368554776,0.006082792547696059,0.0,-0.015685696532640785,-0.021505692483760552,1.3134777394282828,-0.040081378247769674,0.007417033870480886,0.0,466.17060756758093,465.7619333887055,467.1795419393221,467.84855080720166
0.5200000000000001,-0.0029919120212460334,-0.0028243682594547123,0.37436688706872806,6.268903788177036,0.006285432763320387,0.0,-0.019127766156394627,-0.028840418992650056,1.4787746887540218,-0.033649059100675206,-0.007702852488179994,0.0,484.51118731260294,482.80317446779094,482.3033465960538,483.0308396432764
0.5600000000000002,-0.0038057685838171476,-0.004090667274460836,0.43346824189618094,6.267501147262973,0.006096653855329315,0.0,-0.02155118829835217,-0.03453959812245269,1.476293922557752,-0.04048406537454572,0.0019172143469947736,0.0,404.51512199954203,405.8124556867257,405.13683703007956,404.2133517266261
0.6000000000000002,-0.004723978372896616,-0.005618347048102922,0.4938672874410293,6.265886666378876,0.006207563316860565,0.0,-0.024363554906899773,-0.041936650550463146,1.5436070000493118,-0.04000177223504602,0.005088054596652838,0.0,439.56199742230876,439.9558855172747,438.9107636861915,438.9699298895375
0.6400000000000002,-0.0057605420237818875,-0.007469806993281009,0.5577058473831082,6.264254595885447,0.006331764791284833,0.0,-0.02747861875835521,-0.050734139378601946,1.6482377504133137,-0.04350872758478785,-0.005817922321078129,0.0,457.024010550703,455.718339022077,457.6171471689904,457.19743075674126
0.6800000000000003,-0.006925688617822568,-0.009699646077697435,0.6262558331663147,6.262576819320753,0.006067806415306798,0.0,-0.03076300330187002,-0.060869074483560555,1.77915041421912,-0.038008543028201634,-0.009233846616162524,0.0,468.72116327657,468.3229321305699,469.2065684135074,469.84572816278416
0.7200000000000003,-0.008210783389623943,-0.01232230526459083,0.6986065669349084,6.261119666699816,0.006082963741452119,0.0,-0.03347872360673834,-0.0703481971142586,1.8383318981358987,-0.03245995611261568,0.014789693330254402,0.0,435.0201834282257,438.02706402688744,435.99933119154247,436.69344504553993
